source_text,target_text
quem é o escritor ? Marcos,o escritor é o Marcos
quem é o autor ? Marcos,o autor é o Marcos
quem é o cronista ? Marcos,o cronista é o Marcos
quem é o compositor ? Marcos,o compositor é o Marcos
quando é o por do sol? 18 horas,o por do sol é ás 18 horas
quando é o nascer do sol? 8 horas,o nascer do sol é ás 8 horas
"quem são os empregados da empresa? José, Maria e Eduardo","os empregados da empresa são José, Maria e Eduardo"
"quem são os trabalhadores da empresa? José, Maria e Eduardo","os trabalhadores da empresa são José, Maria e Eduardo"
"quem são os operários da empresa? José, Maria e Eduardo","os operários da empresa são José, Maria e Eduardo"
"quem são os funcionários da empresa? José, Maria e Eduardo","os funcionários da empresa são José, Maria e Eduardo"
quando recebo meu reembolso ? dia 11,você recebe seu reembolso dia 11
quando recebo meu seguro ? dia 2,você recebe seu seguro dia 2
quando recebo meu ressarcimento ? dia 4,você recebe seu ressarcimento dia 4
quando chega meu reembolso ? dia 24,você terá seu reembolso dia 24
quando chega meu seguro ? dia 15,você terá seu seguro dia 15
quando chega meu ressarcimento ? dia 15,você terá seu ressarcimento dia 15
quando consigo meu reembolso ? dia 5,você consiguirá seu reembolso dia 5
